City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
86,Iquitos,PE,2020-09-13 20:35:45,-3.75,-73.25,93.2,56,40,3.36,scattered clouds
87,Asfi,MA,2020-09-13 20:35:45,32.3,-9.24,70.52,86,92,5.77,overcast clouds
88,Airai,TL,2020-09-13 20:35:46,-8.93,125.41,54.73,67,1,3.56,clear sky
89,Port Elizabeth,ZA,2020-09-13 20:35:46,-33.92,25.57,55.4,76,0,10.29,clear sky
90,Utete,TZ,2020-09-13 20:35:46,-7.99,38.76,72.77,91,23,4.18,few clouds
91,Esperance,AU,2020-09-13 20:35:46,-33.87,121.9,50.0,100,2,13.87,clear sky
92,Hilo,US,2020-09-13 20:35:47,19.73,-155.09,82.4,58,75,5.82,broken clouds
93,Saint Anthony,US,2020-09-13 20:31:09,45.02,-93.22,73.0,56,1,5.82,clear sky
94,Buala,SB,2020-09-13 20:35:47,-8.14,159.59,82.87,75,82,8.32,broken clouds
95,Namie,JP,2020-09-13 20:35:47,37.48,141.0,66.99,98,99,10.45,overcast clouds
96,Charters Towers,AU,2020-09-13 20:35:47,-20.1,146.27,61.02,90,0,7.99,light rain
97,Kralendijk,BQ,2020-09-13 20:35:47,12.15,-68.27,84.34,81,57,18.45,broken clouds
98,Rio Grande,BR,2020-09-13 20:34:39,-32.03,-52.1,64.4,100,90,13.87,mist
99,Port Moresby,PG,2020-09-13 20:35:47,-9.44,147.18,71.6,83,20,5.82,few clouds
100,Thompson,CA,2020-09-13 20:35:48,55.74,-97.86,53.6,54,75,12.75,broken clouds
101,Arani,IN,2020-09-13 20:35:48,12.67,79.28,75.36,86,100,4.61,overcast clouds
102,Rudbar,AF,2020-09-13 20:31:06,30.15,62.6,70.25,23,0,10.25,clear sky
103,Jimenez,MX,2020-09-13 20:35:48,28.33,-105.4,71.6,53,90,8.05,drizzle
104,Pringsewu,ID,2020-09-13 20:35:48,-5.36,104.97,73.38,91,98,4.45,overcast clouds
105,Maiduguri,NG,2020-09-13 20:35:48,11.85,13.16,75.94,68,8,4.7,clear sky
106,Chokurdakh,RU,2020-09-13 20:35:49,70.63,147.92,44.98,70,39,3.74,scattered clouds
107,Moussoro,TD,2020-09-13 20:35:49,13.64,16.49,82.8,53,7,6.06,clear sky
108,Victoria,HK,2020-09-13 20:35:49,22.29,114.16,80.01,88,66,8.01,light rain
109,Katsuura,JP,2020-09-13 20:35:49,35.13,140.3,73.0,94,75,10.29,light intensity shower rain
110,Castro,BR,2020-09-13 20:35:26,-24.79,-50.01,73.2,47,11,4.79,few clouds
111,Pa Sang,TH,2020-09-13 20:35:50,18.53,98.94,77.0,94,20,3.36,few clouds
112,Saint-Philippe,RE,2020-09-13 20:35:50,-21.36,55.77,69.01,68,90,6.93,overcast clouds
113,Robat Karim,IR,2020-09-13 20:35:50,35.48,51.08,75.2,46,40,11.41,scattered clouds
114,Benicarlo,ES,2020-09-13 20:35:50,40.42,0.43,68.0,61,0,1.99,clear sky
115,Meulaboh,ID,2020-09-13 20:35:50,4.14,96.13,77.07,90,100,3.02,overcast clouds
116,Lubango,AO,2020-09-13 20:35:51,-14.92,13.49,59.97,45,0,4.21,clear sky
117,Lagoa,PT,2020-09-13 20:35:51,39.05,-27.98,72.57,82,76,21.43,light rain
118,Yellowknife,CA,2020-09-13 20:35:51,62.46,-114.35,37.99,55,75,9.17,broken clouds
119,Aksarka,RU,2020-09-13 20:33:09,66.56,67.8,44.06,86,97,10.36,overcast clouds
120,Arlit,NE,2020-09-13 20:35:51,18.74,7.39,99.43,11,0,12.53,clear sky
121,Townsend,US,2020-09-13 20:35:51,39.4,-75.69,79.0,82,53,4.0,broken clouds
122,Khatanga,RU,2020-09-13 20:35:51,71.97,102.5,45.73,71,0,6.2,clear sky
123,Bangui,CF,2020-09-13 20:31:47,4.36,18.55,77.0,78,40,5.82,thunderstorm
124,Santa Cruz De Tenerife,ES,2020-09-13 20:35:52,28.47,-16.25,73.0,88,75,8.05,broken clouds
125,Vardo,NO,2020-09-13 20:35:52,70.37,31.11,48.2,93,90,14.99,overcast clouds
126,Ravar,IR,2020-09-13 20:35:52,31.27,56.81,67.35,24,0,9.13,clear sky
127,Cap Malheureux,MU,2020-09-13 20:35:52,-19.98,57.61,66.99,85,95,5.99,overcast clouds
128,Kodiak,US,2020-09-13 20:35:15,57.79,-152.41,57.2,50,1,3.36,clear sky
129,Ambon,ID,2020-09-13 20:35:52,-3.7,128.18,78.06,82,100,11.36,overcast clouds
130,Kaitangata,NZ,2020-09-13 20:35:52,-46.28,169.85,53.01,92,95,1.01,light rain
131,Along,IN,2020-09-13 20:35:53,28.17,94.77,73.47,89,100,0.67,moderate rain
132,Pastos Bons,BR,2020-09-13 20:35:53,-6.6,-44.08,85.95,25,72,4.0,broken clouds
133,Geraldton,AU,2020-09-13 20:35:53,-28.77,114.6,64.4,34,0,16.11,clear sky
134,Oeiras Do Para,BR,2020-09-13 20:35:53,-2.0,-49.85,89.98,50,96,4.56,overcast clouds
135,Haines Junction,CA,2020-09-13 20:30:58,60.75,-137.51,48.18,49,44,3.47,scattered clouds
136,Santa Maria,BR,2020-09-13 20:35:53,-29.68,-53.81,68.0,88,75,6.93,broken clouds
137,Candolim,IN,2020-09-13 20:35:53,15.52,73.76,79.74,83,100,11.7,overcast clouds
138,Tiarei,PF,2020-09-13 20:35:54,-17.53,-149.33,84.2,66,20,14.99,few clouds
139,Kasongo,CD,2020-09-13 20:35:54,-4.45,26.67,75.33,71,23,4.41,few clouds
140,Denpasar,ID,2020-09-13 20:35:19,-8.65,115.22,78.8,88,20,4.7,few clouds
141,Marfino,RU,2020-09-13 20:35:55,55.7,37.38,59.0,71,65,11.18,broken clouds
142,Namibe,AO,2020-09-13 20:35:55,-15.2,12.15,62.6,84,57,5.41,broken clouds
143,Valparaiso,CL,2020-09-13 20:35:55,-33.04,-71.63,73.4,45,0,23.04,clear sky
