City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Hotel Name
429,429,Tual,ID,2020-09-13 20:36:45,-5.67,132.75,78.39,80,97,22.48,overcast clouds,Grand Vilia Hotel
430,430,Lhokseumawe,ID,2020-09-13 20:36:45,5.18,97.15,77.58,82,100,2.98,overcast clouds,OYO 3278 Penginapan Alfajri
434,434,Malakal,SS,2020-09-13 20:36:45,9.53,31.66,70.61,96,91,6.85,overcast clouds,Nile Palace Hotel
435,435,Harper,LR,2020-09-13 20:36:45,4.38,-7.72,76.82,88,78,10.45,broken clouds,Screensaver
441,441,Saint-Georges,GD,2020-09-13 20:36:05,12.06,-61.75,89.6,75,40,17.22,scattered clouds,Siesta Hotel
444,444,Puerto Ayacucho,VE,2020-09-13 20:36:47,5.66,-67.62,84.2,74,40,10.29,moderate rain,Posada Turistica Manapiare
447,447,Matara,LK,2020-09-13 20:36:48,5.95,80.54,77.36,88,92,10.27,overcast clouds,Amaloh Boutique Resort
449,449,Balikpapan,ID,2020-09-13 20:36:48,-1.27,116.83,75.27,92,100,3.91,light rain,Grand Jatra Hotel Balikpapan
454,454,Sambava,MG,2020-09-13 20:36:49,-14.27,50.17,70.14,82,84,14.29,broken clouds,Melrose
457,457,Carupano,VE,2020-09-13 20:36:49,10.67,-63.26,84.79,82,36,5.19,scattered clouds,Hotel La dorada
460,460,Granada,ES,2020-09-13 20:36:50,37.25,-3.25,82.4,32,97,8.05,overcast clouds,Cortijo vista alegre
461,461,Los Banos,PH,2020-09-13 20:36:50,14.17,121.18,82.0,83,20,3.36,few clouds,Sol Y Viento Mountain Hot Springs and Resort
462,462,Kikwit,CD,2020-09-13 20:36:50,-5.04,18.82,80.83,50,0,1.74,clear sky,Centre D'Accueil Protestant
463,463,Karachi,PK,2020-09-13 20:33:51,24.91,67.08,84.2,70,75,11.16,broken clouds,Hillside Homes
464,464,Nishihara,JP,2020-09-13 20:36:50,26.18,127.76,82.4,94,75,3.36,light rain,Minshuku Agaihama
465,465,Lahaina,US,2020-09-13 20:36:51,20.88,-156.68,89.6,38,20,18.34,few clouds,Lahaina Shores Beach Resort
466,466,Dabola,GN,2020-09-13 20:36:51,10.75,-11.12,73.67,88,100,1.5,overcast clouds,Hotel Tinkisso
467,467,Sao Filipe,CV,2020-09-13 20:36:51,14.9,-24.5,79.14,81,99,9.48,light rain,Tortuga B&B
